field,leaf,mite_per,mine_per,original_area,area_after_herb,area_consumed,per_area_consumed,leaf_mass,SLA,tot_per_herb,tot_area_consumed,mass_consumed
2,46,3,0,3.957,3.37,0.587,14.834,0.0315,106.984,17.834,0.70569138,0.006596225
2,47,0,0,6.126,6.126,0,0,0.0577,106.17,0,0,0
2,48,0,0,6.021,5.931,0.09,1.495,0.0555,106.865,1.495,0.09001395,8.42E-04
2,49,2,0,5.645,5.561,0.084,1.488,0.0516,107.771,3.488,0.1968976,0.001826994
2,50,0,0,9.792,9.792,0,0,0.1026,95.439,0,0,0
2,51,30,0,5.643,5.542,0.101,1.79,0.0597,92.831,31.79,1.7939097,0.019324505
2,52,0,0,7.894,5.061,2.833,35.888,0.0526,96.217,35.888,2.83299872,0.029443931
2,53,10,0,3.423,3.228,0.195,5.697,0.032,100.875,15.697,0.53730831,0.005326476
2,54,10,0,9.892,9.788,0.104,1.051,0.1117,87.628,11.051,1.09316492,0.012475125
2,55,0,0,8.054,8.054,0,0,0.08,100.675,0,0,0
2,56,8,0,6.773,5.892,0.88,12.992,0.0612,96.275,20.992,1.42178816,0.014768064
2,57,5,0,3.016,3.016,0,0,0.0325,92.8,5,0.1508,0.001625
2,58,35,0,4.359,4.359,0,0,0.0432,100.903,35,1.52565,0.01512
2,59,4,2,7.302,7.082,0.22,3.013,0.0721,98.225,9.013,0.65812926,0.006700243
2,60,0,0,11.071,11.044,0.027,0.244,0.1067,103.505,0.244,0.02701324,2.61E-04
2,61,5,0,14.987,12.615,2.372,15.827,0.1201,105.037,20.827,3.12134249,0.029716467
2,62,65,0,4.724,4.724,0,0,0.0343,137.726,65,3.0706,0.022295
2,63,12,0,5.262,4.529,0.733,13.93,0.0382,118.56,25.93,1.3644366,0.011508386
2,64,0,0,11.403,11.308,0.095,0.833,0.1124,100.605,0.833,0.09498699,9.44E-04
2,65,35,0,4.972,4.972,0,0,0.0354,140.452,35,1.7402,0.01239
2,66,10,0,7.297,7.272,0.025,0.343,0.0794,91.587,10.343,0.75472871,0.008240575
2,67,15,0,5.501,5.501,0,0,0.0448,122.79,15,0.82515,0.00672
2,68,2,0,8.107,7.091,1.016,12.532,0.0531,133.54,14.532,1.17810924,0.008822113
2,69,5,0,6.694,6.694,0,0,0.0716,93.492,5,0.3347,0.00358
2,70,3,0,5.338,5.338,0,0,0.0554,96.354,3,0.16014,0.001662
2,71,2,0,7.177,7.177,0,0,0.0795,90.277,2,0.14354,0.00159
2,72,25,0,2.938,2.339,0.599,20.388,0.0226,103.496,45.388,1.33349944,0.012884603
2,73,20,0,5.319,5.306,0.013,0.244,0.0435,121.977,20.244,1.07677836,0.008827716
2,74,3,0,5.22,5.22,0,0,0.0583,89.537,3,0.1566,0.001749
2,75,4,0,10.513,9.89,0.623,5.926,0.1088,90.901,9.926,1.04352038,0.011479779
2,76,6,0,6.736,6.736,0,0,0.0633,106.414,6,0.40416,0.003798
2,77,0,5,10.141,10.138,0.003,0.03,0.1273,79.639,5.03,0.5100923,0.006405085
2,78,1,0,5.7,5.444,0.256,4.491,0.0647,84.142,5.491,0.312987,0.003719739
2,79,15,2,8.807,8.807,0,0,0.0847,103.979,17,1.49719,0.014399
2,80,2,0,4.327,4.327,0,0,0.0386,112.098,2,0.08654,7.72E-04
2,81,3,0,5.48,5.48,0,0,0.0567,96.649,3,0.1644,0.001701
2,82,6,0,13.673,13.673,0,0,0.1291,105.91,6,0.82038,0.007746
2,83,0,0,15.541,14.755,0.786,5.058,0.1341,110.03,5.058,0.78606378,0.007144097
2,84,0,0,13.415,13.45,0,0,0.1238,108.643,0,0,0
2,85,0,0,7.205,7.205,0,0,NA,NA,0,0,NA
2,86,1,0,11.534,10.563,0.971,8.419,0.099,106.697,9.419,1.08638746,0.01018199
2,87,1,0,9.093,8.573,0.52,5.719,0.0993,86.334,6.719,0.61095867,0.007076659
2,88,15,0,2.353,2.353,0,0,0.022,106.955,15,0.35295,0.0033
2,89,5,0,4.101,4.101,0,0,0.0475,86.337,5,0.20505,0.002375
2,90,8,0,4.133,3.679,0.454,10.985,0.0351,104.815,18.985,0.78465005,0.007486061
2,91,2,0,6.076,5.484,0.592,9.743,0.0511,107.319,11.743,0.71350468,0.006648448
2,92,0,0,4.894,4.894,0,0,0.0498,98.273,0,0,0
2,93,0,0,4.485,3.474,1.011,22.542,0.036,96.5,22.542,1.0110087,0.010476774
2,94,7,0,5.43,5.024,0.406,7.478,0.055,91.345,14.478,0.7861554,0.008606399
2,95,2,0,7.97,7.958,0.012,0.151,0.0725,109.766,2.151,0.1714347,0.001561827
2,96,0,0,8.664,8.183,0.481,5.552,0.0732,111.79,5.552,0.48102528,0.004302951
2,97,0,0,4.017,3.6,0.417,10.381,0.0279,129.032,10.381,0.41700477,0.003231787
2,98,1,0,7.113,7.095,0.018,0.253,0.0693,102.381,1.253,0.08912589,8.71E-04
2,99,20,0,4.854,4.854,0,0,0.0415,116.964,20,0.9708,0.0083
2,100,1,0,8.445,8.445,0,0,0.1023,82.551,1,0.08445,0.001023
2,101,3,0,9.963,9.457,0.506,5.079,0.0772,122.5,8.079,0.80491077,0.0065707
2,102,75,0,5.279,5.118,0.161,3.05,0.0375,136.48,78.05,4.1202595,0.030189475
2,103,2,0,4.71,4.71,0,0,0.0396,118.939,2,0.0942,7.92E-04
2,104,1,0,2.194,2.194,0,0,0.0198,110.808,1,0.02194,1.98E-04
2,105,15,0,3.267,2.84,0.427,13.07,0.0282,100.709,28.07,0.9170469,0.009105888
3,1,2,0,7.353,6.797,0.556,7.562,0.0642,105.872,9.562,0.70309386,0.006640963
3,2,20,0,4.204,4.16,0.044,1.047,0.0316,131.646,21.047,0.88481588,0.006721198
3,3,2,0,5.147,4.915,0.232,4.507,0.0491,100.102,6.507,0.33491529,0.003345746
3,4,2,0,6.128,5.972,0.156,2.546,0.0535,111.626,4.546,0.27857888,0.002495641
3,5,1,0,6.112,5.13,0.982,16.067,0.0555,92.432,17.067,1.04313504,0.011285379
3,6,0,0,4.458,4.261,0.197,4.419,0.0406,104.951,4.419,0.19699902,0.001877062
3,7,1,0,5.632,5.631,0.001,0.018,0.0897,62.776,1.018,0.05733376,9.13E-04
3,8,3,0,7.911,7.911,0,0,0.0773,102.342,3,0.23733,0.002319
3,9,15,0,6.29,6.29,0,0,0.0471,133.546,15,0.9435,0.007065
3,10,1,0,5.99,5.982,0.008,0.134,0.0631,94.802,1.134,0.0679266,7.17E-04
3,11,3,0,4.818,4.818,0,0,0.0444,108.514,3,0.14454,0.001332
3,12,10,0,6.077,6.077,0,0,0.0585,103.88,10,0.6077,0.00585
3,13,15,0,6.388,6.388,0,0,0.0581,109.948,15,0.9582,0.008715
3,14,4,0,4.745,4.745,0,0,0.0362,131.077,4,0.1898,0.001448
3,15,2,0,4.871,4.676,0.195,4.003,0.0394,118.68,6.003,0.29240613,0.002463816
3,16,8,0,7.878,7.136,0.742,9.419,0.0662,107.795,17.419,1.37226882,0.012730409
3,17,1,0,7.693,7.693,0,0,0.0773,99.521,1,0.07693,7.73E-04
3,18,5,0,6.645,5.938,0.707,10.64,0.0508,116.89,15.64,1.039278,0.008891095
3,19,6,0,5.904,5.904,0,0,0.0579,101.9689,6,0.35424,0.003474
3,20,2,0,11.483,6,5.483,47.749,0.0524,114.504,49.749,5.71267767,0.049890718
3,21,5,0,4.448,3.341,1.107,24.888,0.0376,88.856,29.888,1.32941824,0.014961426
3,22,5,0,7.696,7.431,0.265,3.443,0.0769,96.632,8.443,0.64977328,0.006724205
3,23,5,0,6.741,6.285,0.456,6.765,0.0613,102.529,11.765,0.79307865,0.007735198
3,24,5,0,5.536,5.106,0.43,7.767,0.0481,106.154,12.767,0.70678112,0.006658083
3,25,10,0,2.64,2.288,0.352,13.333,0.0161,142.112,23.333,0.6159912,0.004334553
3,26,6,0,5.264,5.264,0,0,0.0534,98.577,6,0.31584,0.003204
3,27,40,0,4.949,4.464,0.485,8.8,0.0475,93.979,48.8,2.415112,0.025698436
3,28,10,0,11.483,10.82,0.663,5.774,0.1159,93.356,15.774,1.81132842,0.019402307
3,29,4,0,5.589,5.558,0.031,0.555,0.0369,150.523,4.555,0.25457895,0.00169017
3,30,15,0,6.635,6.635,0,0,0.0385,172.338,15,0.99525,0.005775
3,31,1,0,7.988,7.818,0.17,2.128,0.0675,115.8222,3.128,0.24986464,0.002157312
3,32,5,0,8.275,8.275,0,0,0.0711,116.385,5,0.41375,0.003555
3,33,0,0,4.247,3.7,0.547,12.88,0.0291,127.148,12.88,0.5470136,0.004302188
3,34,10,0,5.412,5.398,0.014,0.259,0.0474,113.882,10.259,0.55521708,0.004875378
3,35,0,0,5.667,5.666,0.001,0.018,0.0502,112.869,0.018,0.00102006,9.04E-06
3,36,0,5,7.006,7.006,0,0,0.0616,113.734,5,0.3503,0.00308
3,37,7,0,6.838,5.516,1.322,19.333,0.0322,171.304,26.333,1.80065054,0.010511412
3,38,0,25,4.968,4.629,0.339,6.824,0.0397,116.599,31.824,1.58101632,0.013559375
3,39,15,0,8.245,6.09,2.155,26.137,0.0613,99.347,41.137,3.39174565,0.034140231
3,40,0,0,4.731,4.731,0,0,0.041,115.39,0,0,0
3,41,2,15,5.542,5.542,0,0,0.0443,125.102,17,0.94214,0.007531
3,42,10,0,5.982,5.94,0.042,0.702,0.0557,106.643,10.702,0.64019364,0.006003163
3,43,5,0,6.083,5.085,0.998,16.406,0.0446,113.991,21.406,1.30212698,0.011420819
3,44,15,0,6.331,5.95,0.381,6.018,0.0602,98.837,21.018,1.33064958,0.013463043
3,45,15,0,2.967,2.908,0.059,1.989,0.0312,93.205,16.989,0.50406363,0.00540811
3,46,1,0,6.792,6.792,0,0,0.0703,96.615,1,0.06792,7.03E-04
3,47,1,0,6.321,6.321,0,0,0.0611,101.98,1,0.06321,6.11E-04
3,48,10,0,8.468,5.993,2.538,29.972,0.0575,104.226,39.972,3.38482896,0.032475833
3,49,0,0,3.901,3.871,0.03,0.769,0.0302,128.179,0.769,0.02999869,2.34E-04
3,50,0,0,7.231,6.67,0.561,7.758,0.0688,96.948,7.758,0.56098098,0.00578643
3,51,15,0,5.388,5.388,0,0,0.0472,114.153,15,0.8082,0.00708
3,52,40,0,6.857,6.109,0.748,10.909,0.0438,139.475,50.909,3.49083013,0.025028378
3,53,0,0,6.741,6.741,0,0,0.0643,104.837,0,0,0
3,54,3,0,6.194,4.575,1.619,26.138,0.0461,99.241,29.138,1.80480772,0.01818615
3,55,37,0,5.932,5.932,0,0,0.0515,115.184,37,2.19484,0.019055
3,56,7,0,5.418,5.294,0.124,2.289,0.0517,102.398,9.289,0.50327802,0.004914899
3,57,12,0,6.349,6.31,0.039,0.614,0.0594,106.229,12.614,0.80086286,0.007539026
3,58,20,0,6.19,6.19,0,0,0.0654,94.648,20,1.238,0.01308
3,59,12,0,7.174,6.01,1.164,16.225,0.0513,117.154,28.225,2.0248615,0.01728376
3,60,6,0,5.12,5.12,0,0,0.0458,111.79,6,0.3072,0.002748
3,61,2,0,5.438,5.438,0,0,0.0585,92.957,2,0.10876,0.00117
3,62,15,0,6.083,5.898,0.094,1.545,0.0546,108.022,16.545,1.00643235,0.009316922
3,63,15,0,5.147,5.099,0.048,0.933,0.0506,100.771,15.933,0.82007151,0.008137991
3,64,4,0,6.356,6.356,0,0,0.0617,103.015,4,0.25424,0.002468
3,65,0,0,5.839,5.653,0.186,3.185,0.0602,93.904,3.185,0.18597215,0.001980457
3,66,1,0,5.784,4.406,1.378,23.824,0.0382,115.34,24.824,1.43582016,0.012448554
3,67,70,0,6.088,5.504,0.584,9.593,0.0527,104.44,79.593,4.84562184,0.046396125
3,68,3,0,8.814,5.755,3.059,34.706,0.0599,96.077,37.706,3.32340684,0.03459115
3,69,10,0,6.216,5.788,0.428,6.885,0.0476,121.597,16.885,1.0495716,0.008631584
3,70,35,0,6.085,6.042,0.043,0.707,0.0539,112.096,35.707,2.17277095,0.019383044
3,71,0,0,3.367,3.367,0,0,0.0306,110.033,0,0,0
3,72,3,0,4.013,3.809,0.204,5.083,0.0308,123.669,8.083,0.32437079,0.002622898
3,73,25,0,4.631,4.443,0.188,4.06,0.0484,91.798,29.06,1.3457686,0.014660185
3,74,0,0,5.191,5.191,0,0,0.051,101.784,0,0,0
3,75,3,0,5.435,5.158,0.277,5.097,0.0558,92.437,8.097,0.44007195,0.004760763
3,76,1,0,5.93,5.93,0,0,0.0392,151.276,1,0.0593,3.92E-04
3,77,30,0,4.945,4.945,0,0,0.0516,95.833,30,1.4835,0.01548
3,78,3,0,5.814,5.814,0,0,0.0403,144.268,3,0.17442,0.001209
3,79,10,0,10.605,9.939,0.666,6.28,0.0993,100.091,16.28,1.726494,0.017249306
3,80,10,0,9.801,8.258,1.543,15.743,0.0804,102.711,25.743,2.52307143,0.024564658
3,81,40,0,7.077,7.077,0,0,0.0452,156.571,40,2.8308,0.01808
3,82,0,0,6.425,6.425,0,0,0.067,95.896,0,0,0
3,83,7,0,8.203,6.203,2,0.25,0.0633,97.994,7.25,0.5947175,0.006068937
3,84,5,0,7.195,6.788,0.407,5.657,0.0654,103.792,10.657,0.76677115,0.007387571
3,85,6,0,8.409,8.122,0.287,3.413,0.0875,92.823,9.413,0.79153917,0.008527417
3,86,4,0,6.704,6.514,0.19,2.834,0.062,105.065,6.834,0.45815136,0.004360667
3,87,10,0,5.758,5.035,0.723,12.556,0.0475,106,22.556,1.29877448,0.012252589
3,88,8,0,7.494,7.494,0,0,0.0761,98.476,8,0.59952,0.006088
3,89,0,0,6.112,6.112,0,0,0.0567,107.795,0,0,0
3,90,3,0,6.593,6.58,0.013,0.197,0.0624,105.449,3.197,0.21077821,0.001998869
3,91,0,0,5.038,5.038,0,0,0.0432,116.62,0,0,0
3,92,7,0,5.731,5.731,0,0,0.0559,102.522,7,0.40117,0.003913
3,93,2,0,6.859,5.731,1.128,16.446,0.0649,88.305,18.446,1.26521114,0.014327727
3,94,10,0,6.518,6.295,0.223,3.421,0.0585,107.607,13.421,0.87478078,0.008129416
3,95,25,0,6.669,6.669,0,0,0.0369,180.732,25,1.66725,0.009225
3,96,10,10,11.28,10.204,1.076,9.539,0.0935,109.134,29.539,3.3319992,0.030531353
